Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-08-10,108.709999,108.900002,107.760002,108,24008500,106.984496,95.17260758,102.734,110.2953925,Decreasing
2023-08-11,108.519997,108.93,107.849998,107.93,27484500,106.915155,95.58278728,103.2275,110.8722127,Decreasing
2023-08-12,107.779999,108.440002,107.779999,108.18,18660400,107.162804,96.03740181,103.6911667,111.3449315,Increasing
2023-08-15,108.139999,109.540001,108.080002,109.480003,25868200,108.450584,96.42712379,104.1668335,111.9065431,Increasing
2023-08-16,109.629997,110.230003,109.209999,109.379997,33794400,108.351518,96.85507774,104.6603335,112.4655892,Decreasing
2023-08-17,109.099998,109.370003,108.339996,109.220001,25356000,108.193026,97.38594245,105.1065002,112.8270579,Increasing
2023-08-18,109.230003,109.599998,109.019997,109.080002,21984700,108.054343,98.05126189,105.5755002,113.0997385,Decreasing
2023-08-19,108.769997,109.690002,108.360001,109.360001,25368100,108.331709,99.11067546,106.0945002,113.0783249,Increasing
2023-08-22,108.860001,109.099998,107.849998,108.510002,25820200,107.489703,100.746454,106.6338337,112.5212133,Decreasing
2023-08-23,108.589996,109.32,108.529999,108.849998,21257700,107.826502,103.2539397,107.2278337,111.2024276,Increasing
2023-08-24,108.57,108.75,107.68,108.029999,23675100,107.014213,103.9008025,107.4680004,111.0351983,Decreasing
2023-08-25,107.389999,107.879997,106.68,107.57,25086200,106.558539,104.4787679,107.6433338,110.8078997,Increasing
2023-08-26,107.410004,107.949997,106.309998,106.940002,27766300,105.934466,105.0415368,107.7893337,110.5371306,Decreasing
2023-08-29,106.620003,107.440002,106.290001,106.82,24970300,105.815591,105.2675866,107.8550003,110.4424139,Increasing
2023-08-30,105.800003,106.5,105.5,106,24863900,105.003302,105.5537536,107.9125002,110.2712468,Increasing
2023-08-31,105.660004,106.57,105.639999,106.099998,29662400,105.10236,105.7042829,107.9443336,110.1843843,Increasing
2023-09-01,106.139999,106.800003,105.620003,106.730003,26701500,105.726441,105.8544087,107.9776671,110.1009254,Increasing
2023-09-02,107.699997,108,106.82,107.730003,26802500,106.717038,105.9016386,107.9983337,110.0950288,Increasing
2023-09-06,107.900002,108.300003,107.510002,107.699997,26880400,106.687314,105.8939804,107.9918336,110.0896867,Decreasing
2023-09-07,107.830002,108.760002,107.07,108.360001,42364300,107.341112,105.8851607,107.9656669,110.0461731,Increasing
2023-09-08,107.25,107.269997,105.239998,105.519997,53002000,104.527812,105.6120313,107.8551667,110.0983021,Decreasing
2023-09-09,104.639999,105.720001,103.129997,103.129997,46557000,102.160285,104.8492134,107.643,110.4367865,Decreasing
2023-09-12,102.650002,105.720001,102.529999,105.440002,45292800,104.44857,104.3779846,107.4645,110.5510154,Increasing
2023-09-13,107.510002,108.790001,107.239998,107.949997,62176200,106.934963,104.3992881,107.4124998,110.4257116,Increasing
2023-09-14,108.730003,113.029999,108.599998,111.769997,110888700,110.719044,104.1930506,107.4888331,110.7846156,Increasing
2023-09-15,113.860001,115.730003,113.489998,115.57,89983600,114.483317,103.1887585,107.7864998,112.384241,Increasing
